"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","10.6","$1.26B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","146.85","$84.53B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","4.78","$205.53M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","56.08","$8.39B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20.07","$2.06B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","2.655","$56.99M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","40.95","$6.68B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.96","$539.96M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","40.35","$1.41B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","42.7","$2.85B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","22.32","$47.61B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","81.13","$143.47B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","89.18","$131.91B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","14.49","$909.22M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.799","$122.97M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","6.48","$553.44M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","11.46","$199.77M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.07","$94.78M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.54","$900.38M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","35.73","$2.39B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","24.69","$2.03B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","12.72","$996.03M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"ACN","Accenture plc","197.1","$125.28B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.41","$815.66M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","13.9561","$36.02M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","107.35","$4.25B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","27.32","$2.05B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","15.48","$1.63B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","13.92","$411.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","7.28","$855.29M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADNT","Adient plc","25.29","$2.37B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","6.9","$5.31B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","33.32","$1.76B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","137.6","$9.53B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","33.06","$2.97B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","45.57","$3.13B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","14.2","$396.39M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"AVK","Advent Convertible and Income Fund","14.91","$514.77M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ACM","AECOM","49.01","$7.77B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEFC","Aegon Funding Company LLC","25.7","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","24.86","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","3.69","$7.41B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AER","Aercap Holdings N.V.","54.54","$7.18B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","51.14","$4.03B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","82.33","$4.06B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","26.7","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","47.7","$34.46B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","15.94","$521.91M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","25.51","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","26.7162","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGCO","AGCO Corporation","64.2","$4.85B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","77.95","$24.16B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","51.94","$12.47B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","76.67","$3.49B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AL","Air Lease Corporation","38.53","$4.37B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","27","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","235.49","$51.97B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"AYR","Aircastle Limited","32.1","$2.41B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/ayr",
"AKS","AK Steel Holding Corporation","2.58","$817.63M","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/aks",
"ALP^Q","Alabama Power Company","26.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","122.5","$1.45B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","6.59","$2.58B","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","58.81","$7.23B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","69.58","$2.25B","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","85.83","$9.1B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","14.5","$2.7B","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa",
"ALC","Alcon Inc.","58.8","$28.71B","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc",
"ALEX","Alexander & Baldwin, Inc.","21.78","$1.57B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","306.51","$1.57B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","163.65","$20.08B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are",
"AQN","Algonquin Power & Utilities Corp.","16.27","$8.53B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","27.59","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna",
"AQNB","Algonquin Power & Utilities Corp.","28","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqnb",
"BABA","Alibaba Group Holding Limited","205.61","$551.59B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/baba",
"Y","Alleghany Corporation","751.81","$10.79B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","18.59","$2.34B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ati",
"ALLE","Allegion plc","124","$11.48B","2013","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/alle",
"AGN","Allergan plc.","193.73","$63.74B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agn",
"ALE","Allete, Inc.","77.38","$4B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ale",
"ADS","Alliance Data Systems Corporation","93.75","$4.32B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ads",
"AFB","Alliance National Municipal Income Fund Inc","14.33","$411.91M","2002","n/a","n/a","https://old.nasdaq.com/symbol/afb",
"AWF","Alliance World Dollar Government Fund II","12.06","$1.04B","1993","n/a","n/a","https://old.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","32.35","$3.17B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ab",
"AIO","AllianzGI Artificial Intelligence & Tech Opp Fd","19.6","$672.73M","2019","n/a","n/a","https://old.nasdaq.com/symbol/aio",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","9.57","$174.72M","2017","n/a","n/a","https://old.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","5.67","$512.4M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncv",
"NCV^A","AllianzGI Convertible & Income Fund","26.73","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncv^a",
"NCZ","AllianzGI Convertible & Income Fund II","4.97","$378.3M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncz",
"NCZ^A","AllianzGI Convertible & Income Fund II","26.3827","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncz^a",
"ACV","AllianzGI Diversified Income & Convertible Fund","24.52","$253.88M","2015","n/a","n/a","https://old.nasdaq.com/symbol/acv",
"NIE","AllianzGI Equity & Convertible Income Fund","22.6","$626.22M","2007","n/a","n/a","https://old.nasdaq.com/symbol/nie",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.61","$1.2B","2005","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/nfj",
"ALSN","Allison Transmission Holdings, Inc.","43.24","$5.16B","2012","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alsn",
"ALL","Allstate Corporation (The)","117.31","$37.18B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/all",
"ALL^B","Allstate Corporation (The)","27.11","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^b",
"ALL^G","Allstate Corporation (The)","26.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^g",
"ALL^H","Allstate Corporation (The)","26.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^h",
"ALL^I","Allstate Corporation (The)","25.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^i",
"ALLY","Ally Financial Inc.","26.11","$9.8B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","26.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ally^a",
"PINE","Alpine Income Property Trust, Inc.","19.05","$173.89M","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pine",
"ALTG","Alta Equipment Group Inc.","9.32","$171.78M","2019","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/altg",
"ALTG.WS","Alta Equipment Group Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altg.ws",
"AYX","Alteryx, Inc.","132.69","$8.68B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","27.38","$17.19B","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/atus",
"MO","Altria Group","42.49","$78.95B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","6.85","$4.66B","2001","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/ach",
"ALUS","Alussa Energy Acquisition Corp.","9.91","$309.69M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/alus",
"ALUS.U","Alussa Energy Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/alus.u",
"ALUS.WS","Alussa Energy Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alus.ws",
"AMBC","Ambac Financial Group, Inc.","20.84","$949.84M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBC.WS","Ambac Financial Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ambc.ws",
"ABEV","Ambev S.A.","3.61","$56.79B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/abev",
"AMC","AMC Entertainment Holdings, Inc.","6.55","$680.22M","2013","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/amc",
"AMCR","Amcor plc","9.67","$15.51B","2019","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/amcr",
"AEE","Ameren Corporation","83.56","$20.56B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc.","23.62","$1.11B","2010","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/amrc",
"AMOV","America Movil, S.A.B. de C.V.","16.21","$53.49B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","16.34","$53.92B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amx",
"AAT","American Assets Trust, Inc.","44.06","$2.65B","2011","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","6.56","$738.29M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/axl",
"ACC","American Campus Communities Inc","48","$6.6B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","13.44","$2.24B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/aeo",
"AEP","American Electric Power Company, Inc.","98.17","$48.51B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aep",
"AEP^B","American Electric Power Company, Inc.","56.19","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aep^b",
"AEL","American Equity Investment Life Holding Company","28.56","$2.6B","2003","Finance","Life Insurance","https://old.nasdaq.com/symbol/ael",
"AEL^A","American Equity Investment Life Holding Company","25.77","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^a",
"AXP","American Express Company","120.9","$97.69B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","101.81","$9.19B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afg",
"AFGB","American Financial Group, Inc.","27.38","n/a","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgb",
"AFGC","American Financial Group, Inc.","26.11","$26.06M","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgc",
"AFGH","American Financial Group, Inc.","25.59","n/a","2015","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgh",
"AMH","American Homes 4 Rent","27.63","$8.31B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amh",
"AMH^D","American Homes 4 Rent","25.62","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^d",
"AMH^E","American Homes 4 Rent","25.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^e",
"AMH^F","American Homes 4 Rent","25.86","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^f",
"AMH^G","American Homes 4 Rent","25.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^g",
"AMH^H","American Homes 4 Rent","26.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^h",
"AIG","American International Group, Inc.","45.24","$39.51B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/aig",
"AIG.WS","American International Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig.ws",
"AIG^A","American International Group, Inc.","27.05","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig^a",
"ARL","American Realty Investors, Inc.","13.38","$214.04M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/arl",
"ARA","American Renal Associates Holdings, Inc","7.95","$259.24M","2016","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/ara",
"AWR","American States Water Company","87.67","$3.23B","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awr",
"AMT","American Tower Corporation (REIT)","246.14","$109.03B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amt",
"AVD","American Vanguard Corporation","16.02","$483.59M","n/a","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/avd",
"AWK","American Water Works","133.09","$24.09B","2008","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awk",
"COLD","Americold Realty Trust","33.23","$6.65B","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cold",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","156.23","$19.36B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amp",
"ABC","AmerisourceBergen Corporation (Holding Co)","92.93","$19.13B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/abc",
"RYCE","Amira Nature Foods Ltd","6.38","$12.87M","2012","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ryce",
"AMN","AMN Healthcare Services Inc","71.77","$3.35B","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/amn",
"AMRX","Amneal Pharmaceuticals, Inc.","4.76","$1.42B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrx",
"AP","Ampco-Pittsburgh Corporation","2.65","$33.5M","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","95.47","$28.46B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",
"AXR","AMREP Corporation","6.1","$49.64M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/axr",
"HKIB","AMTD International Inc.","8.5","$2.09B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/hkib",
"AME","AMTEK, Inc.","91.75","$21.02B","n/a","Consumer Durables","Metal Fabrications","https://old.nasdaq.com/symbol/ame",
"PLAN","Anaplan, Inc.","57.01","$7.62B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/plan",
"FINS","Angel Oak Financial Strategies Income Term Trust","20.36","$234.55M","2019","n/a","n/a","https://old.nasdaq.com/symbol/fins",
"AU","AngloGold Ashanti Limited","20.85","$8.66B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","66.92","$131.12B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","97.16","$3.29B","n/a","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/axe",
"NLY","Annaly Capital Management Inc","9.8","$14.02B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nly",
"NLY^D","Annaly Capital Management Inc","25.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^d",
"NLY^F","Annaly Capital Management Inc","26","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^f",
"NLY^G","Annaly Capital Management Inc","25.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^g",
"NLY^I","Annaly Capital Management Inc","26.01","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^i",
"AM","Antero Midstream Corporation","4.41","$2.13B","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","1.65","$473.02M","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","267.4","$67.47B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/antm",
"ANH","Anworth Mortgage Asset  Corporation","3.63","$358.81M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","25.8608","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","22.8793","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","25.4501","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^c",
"AON","Aon plc","222.44","$51.51B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/aon",
"APA","Apache Corporation","25.5","$9.59B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/apa",
"AIV","Apartment Investment and Management Company","53.59","$7.98B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aiv",
"APY","Apergy Corporation","21.86","$1.69B","2018","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/apy",
"APHA","Aphria Inc.","3.83","$1.02B","2018","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/apha",
"ARI","Apollo Commercial Real Estate Finance","17.56","$2.7B","2009","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ari",
"APO","Apollo Global Management, Inc","43.17","$17.75B","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, Inc","26.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^a",
"APO^B","Apollo Global Management, Inc","26.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^b",
"AFT","Apollo Senior Floating Rate Fund Inc.","15.15","$235.93M","2011","n/a","n/a","https://old.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","15.19","$219.71M","2013","n/a","n/a","https://old.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","13.73","$3.07B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","63.69","$2.46B","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","106.94","$6.84B","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","81.11","$20.71B","2011","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/aptv",
"WAAS","AquaVenture Holdings Limited","27.01","$860.86M","2016","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/waas",
"ARMK","Aramark","39.75","$10.03B","2013","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","13.82","$1.54B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","25.8128","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^a",
"ABR^B","Arbor Realty Trust","25.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^b",
"ABR^C","Arbor Realty Trust","26.2944","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^c",
"ARC","ARC Document Solutions, Inc.","1.16","$53.23M","2004","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/arc",
"MT","ArcelorMittal","14.64","$14.82B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/mt",
"ARCH","Arch Coal, Inc.","50.67","$766.72M","2016","Energy","Coal Mining","https://old.nasdaq.com/symbol/arch",
"ADM","Archer-Daniels-Midland Company","40.43","$22.56B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/adm",
"AROC","Archrock, Inc.","7.47","$1.14B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/aroc",
"ARNC","Arconic Inc.","31.71","$13.73B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/arnc",
"ARCO","Arcos Dorados Holdings Inc.","6.96","$1.42B","2011","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/arco",
"ACA","Arcosa, Inc.","41.02","$1.98B","2018","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/aca",
"RCUS","Arcus Biosciences, Inc.","14.87","$681.92M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rcus",
"ARD","Ardagh Group S.A.","18.27","$4.32B","2017","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/ard",
"ASC","Ardmore Shipping Corporation","5.13","$169.79M","2013","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/asc",
